Laureate_ID,Laureate_name,Prize_year,Pub_duration,Paper_cum
20001,"Stoddart, J",2016,46,1103
20003,"Sauvage, J",2016,4,10
20005,"Lindahl, T",2015,4,4
20006,"Sancar, A",2015,38,294
20007,"Moerner, W",2014,35,264
20008,"Betzig, E",2014,18,52
20009,"Hell, S",2014,25,338
20010,"Levitt, M",2013,39,173
20011,"Warshel, A",2013,46,332
20012,"Karplus, M",2013,59,727
20013,"Lefkowitz, R",2012,43,546
20014,"Kobilka, B",2012,26,177
20015,"Shechtman, D",2011,26,58
20016,"Heck, R",2010,27,57
20017,"Negishi, E",2010,18,101
20018,"Suzuki, A",2010,51,861
20019,"Ramakrishnan, V",2009,27,87
20020,"Steitz, T",2009,40,209
20022,"Chalfie, M",2008,26,54
20023,"Tsien, R",2008,29,175
20024,Shimomur.O,2008,42,97
20025,"Ertl, G",2007,42,591
20026,"Kornberg, R",2006,33,179
20027,"Chauvin, Y",2005,32,63
20028,"Grubbs, R",2005,37,418
20029,"Schrock, R",2005,37,480
20030,"Ciechanover, A",2004,24,101
20031,"Hershko, A",2004,30,51
20032,"Rose, I",2004,30,50
20033,"Agre, P",2003,21,129
20034,"Mackinnon, R",2003,18,69
20035,"Wuthrich, K",2002,36,450
20036,"Tanaka, K",2002,28,336
20037,"Fenn, J",2002,33,60
20038,"Noyori, R",2001,39,508
20039,"Knowles, W",2001,11,12
20040,"Sharpless, K",2001,35,223
20041,"Heeger, A",2000,37,656
20042,Shirakaw.H,2000,29,231
20043,"Macdiarmid, A",2000,46,454
20044,"Zewail, A",1999,30,291
20045,"Pople, J",1998,44,436
20046,"Kohn, W",1998,49,140
20047,"Boyer, P",1997,37,102
20048,"Walker, J",1997,27,101
20049,"Skou, J",1997,23,36
20050,"Kroto, H",1996,29,225
20051,"Smalley, R",1996,23,183
20052,"Curl, R",1996,40,170
20053,"Molina, M",1995,18,44
20054,"Crutzen, P",1995,26,132
20055,"Rowland, F",1995,37,141
20056,"Olah, G",1994,38,1213
20057,"Smith, M",1993,32,82
20058,"Mullis, K",1993,13,14
20059,"Marcus, R",1992,42,213
20060,"Ernst, R",1991,26,196
20061,"Corey, E",1990,41,802
20062,"Cech, T",1989,17,82
20063,"Altman, S",1989,19,62
20064,"Deisenhofer, J",1988,11,24
20065,"Huber, R",1988,24,103
20066,"Michel, H",1988,9,23
20067,"Cram, D",1987,41,422
20068,"Lehn, J",1987,3,3
20069,"Pedersen, C",1987,1,2
20070,"Polanyi, J",1986,29,100
20071,Herschba.Dr,1986,31,106
20072,"Lee, Y",1986,20,154
20073,"Karle, J",1985,29,73
20074,"Hauptman, H",1985,9,14
20075,Merrifie.Rb,1984,21,69
20076,"Taube, H",1983,42,269
20077,"Klug, A",1982,25,61
20078,"Fukui, K",1981,35,369
20079,"Hoffmann, R",1981,20,211
20080,"Gilbert, W",1980,18,38
20081,"Sanger, F",1980,14,24
20082,"Berg, P",1980,19,55
20083,"Wittig, G",1979,45,245
20084,"Brown, H",1979,42,838
20085,"Mitchell, P",1978,5,5
20087,"Lipscomb, W",1976,31,295
20088,"Prelog, V",1975,23,58
20089,Cornfort.Jw,1975,21,36
20090,"Flory, P",1974,39,175
20091,Wilkinso.G,1973,15,61
20092,"Fischer, E",1973,19,291
20093,"Anfinsen, C",1972,21,65
20094,"Stein, W",1972,14,21
20095,"Moore, S",1972,16,21
20096,"Herzberg, G.",1971,21,38
20097,"Leloir, L",1970,16,21
20098,"Barton, D",1969,12,16
20099,"Hassel, O",1969,3,3
20100,"Onsager, L",1968,24,39
20101,"Norrish, R",1967,2,2
20102,"Porter, G",1967,2,2
20103,"Eigen, M",1967,14,34
20104,"Mulliken, R",1966,41,151
20105,"Woodward, R",1965,22,58
20106,"Hodgkin, D",1964,8,9
20107,"Ziegler, K",1963,11,19
20108,"Natta, G",1963,9,51
20109,"Kendrew, J",1962,1,1
20110,"Perutz, M",1962,8,12
20111,"Calvin, M",1961,1,1
20112,"Libby, W",1960,16,32
20114,"Sanger, F",1958,3,5
20120,"Staudinger, H",1953,20,79
20121,"Synge, R",1952,1,1
20123,"Seaborg, G",1951,11,57
20124,"Mcmillan, E",1951,15,38
20125,"Alder, K",1950,20,76
20126,"Diels, O",1950,41,145
20127,"Giauque, W",1949,3,4
20130,"Stanley, W",1946,7,12
20131,"Northrop, J",1946,26,105
20132,"Sumner, J",1946,12,15
20136,"Ruzicka, L",1939,3,3
20138,"Kuhn, R",1938,17,244
20139,"Haworth, W",1937,28,88
20140,"Karrer, P",1937,14,59
20141,"Debye, P",1936,11,14
20142,"Joliot, F",1935,1,1
20144,"Urey, H",1934,12,39
20145,"Langmuir, I",1932,23,109
20148,"Fischer, H",1930,14,84
20149,"Harden, A",1929,6,8
20156,"Aston, F",1922,3,6
20157,"Soddy, F",1921,16,42
20161,"Richards, T",1914,23,108
